iter	Passed	Remaining
440	1915	256
441	1918	251
442	1922	247
443	1926	242
444	1929	238
445	1932	233
446	1937	229
447	1940	225
448	1943	220
449	1946	216
450	1952	212
451	1958	207
452	1962	203
453	1967	199
454	1970	194
455	1973	190
456	1978	186
457	1981	181
458	1984	177
459	1992	173
460	1995	168
461	1999	164
462	2003	160
463	2005	155
464	2008	151
465	2012	146
466	2016	142
467	2019	138
468	2023	133
469	2027	129
470	2030	125
471	2033	120
472	2036	116
473	2039	111
474	2042	107
475	2045	103
476	2048	98
477	2053	94
478	2057	90
479	2061	85
480	2065	81
481	2068	77
482	2072	72
483	2078	68
484	2084	64
485	2087	60
486	2091	55
487	2094	51
488	2098	47
489	2101	42
490	2105	38
491	2110	34
492	2116	30
493	2119	25
494	2122	21
495	2124	17
496	2126	12
497	2132	8
498	2138	4
499	2142	0
