iter	RMSE
242	0.8512972249
243	0.8511149827
244	0.8508594021
245	0.8498874614
246	0.8494581547
247	0.8486847606
248	0.848307817
249	0.8477541712
250	0.8471234613
251	0.8467249426
252	0.8462248541
253	0.8459991455
254	0.8455783018
255	0.8451826472
256	0.8450523248
257	0.8444832436
258	0.8434715888
259	0.8422939806
260	0.8419704964
261	0.8415288105
262	0.8413442946
263	0.840545559
264	0.8395613052
265	0.8393511868
266	0.8387039272
267	0.8384147341
268	0.8379652571
269	0.8367295189
270	0.8361484196
271	0.83567805
272	0.8354023385
273	0.8346222864
274	0.8340264569
275	0.8338142843
276	0.8335303332
277	0.8325069086
278	0.832244001
279	0.8315838229
280	0.8310848314
281	0.8306762237
282	0.8303188074
283	0.8296097295
284	0.8294437481
285	0.8286994782
286	0.8280877649
287	0.827848833
288	0.8277049695
289	0.8273751808
290	0.8270168751
291	0.8267148983
292	0.8261068879
293	0.8252055103
294	0.8247289375
295	0.8240642825
296	0.8234044115
297	0.8218500052
298	0.8215202145
299	0.8212206618
300	0.8207162348
301	0.8204884248
302	0.8200974167
303	0.8199594435
304	0.8192144589
305	0.8188272368
306	0.8185926725
307	0.8184603726
308	0.8173648391
309	0.8167385294
310	0.816331028
311	0.8160436008
312	0.815773861
313	0.8154631667
314	0.8147589186
315	0.814141292
316	0.8134386682
317	0.8126734615
318	0.8123629676
319	0.8119217994
320	0.8112993009
321	0.8105476354
322	0.8097707516
323	0.8096730881
324	0.8093461785
325	0.8091229241
326	0.8085452771
327	0.8083012287
328	0.8082191329
329	0.8080991099
330	0.80776985
331	0.8071054235
332	0.8066859186
333	0.8059768451
334	0.805898892
335	0.8057583047
336	0.8056717657
337	0.805554554
338	0.8051427484
339	0.8047618014
340	0.8046925106
341	0.804129201
342	0.8040270017
343	0.8039623424
344	0.803576801
345	0.8030037186
346	0.8027540369
347	0.8022952372
348	0.8014042154
349	0.8012596635
350	0.8011571551
351	0.8003693753
352	0.7996519708
353	0.7988744722
354	0.7986252749
355	0.7984885101
356	0.7982666938
357	0.7975972016
358	0.7969721831
359	0.7964429303
360	0.7962978261
361	0.7961327922
362	0.796035344
363	0.7955768395
364	0.7952887872
365	0.7948765288
366	0.7945118764
367	0.7940246676
368	0.7937062789
369	0.793320498
370	0.7926843816
371	0.7923886934
372	0.7918993233
373	0.7917824179
374	0.7906307955
375	0.7903626915
376	0.7902880817
377	0.7901954438
378	0.7898091511
379	0.789728103
380	0.7895051694
381	0.7893355303
382	0.7890475987
383	0.7885131615
384	0.7882741883
385	0.7881202279
386	0.7879076645
387	0.7874147613
388	0.7871950222
389	0.7870101588
390	0.786778618
391	0.7865551473
392	0.7861096504
393	0.7858579312
394	0.7857363081
395	0.7857060823
396	0.7850364981
397	0.7847998681
398	0.7846005702
399	0.7845446003
400	0.7843803902
401	0.7841790326
402	0.7838840737
403	0.7836930164
404	0.7828725792
405	0.7823836073
406	0.7817488148
407	0.7815233239
408	0.7813488523
409	0.7811866203
410	0.7811104452
411	0.7810665635
412	0.7808664507
413	0.7807709509
414	0.7802792863
415	0.780157848
416	0.7798979052
417	0.7796675153
418	0.7796028024
419	0.7787798057
420	0.7781305461
421	0.7780676433
422	0.7770338868
423	0.7769118358
424	0.77665236
425	0.7765758477
426	0.7764018997
427	0.7758680799
428	0.7757234062
429	0.7750461936
430	0.7747599077
431	0.7744736679
432	0.7740997828
433	0.7739632732
434	0.7738021579
435	0.7736962716
436	0.7735377396
437	0.7734421021
438	0.7732803289
439	0.7732308915
440	0.773103384
441	0.7723468476
442	0.7717750547
443	0.7717305771
444	0.7715320526
445	0.7714146653
446	0.7710865604
447	0.7709199198
448	0.7707016522
449	0.7705870406
450	0.7701866745
451	0.7697029633
452	0.7695849799
453	0.7692288854
454	0.7681115299
455	0.7679705966
456	0.7678319425
457	0.7677345547
458	0.7674704631
459	0.7666514846
460	0.7663054151
461	0.7661185454
462	0.7659225234
463	0.7658202504
464	0.7657637418
465	0.7651384812
466	0.7647966231
467	0.7640878258
468	0.7639510642
469	0.7636689229
470	0.7635223617
471	0.7629963489
472	0.7626794282
473	0.7624646625
474	0.7621760147
475	0.7612767285
476	0.7608793008
477	0.7603737561
478	0.7601515152
479	0.760083215
480	0.759412146
481	0.7592023894
482	0.7591112325
483	0.7583387232
484	0.7573891395
485	0.7572196922
486	0.7570995771
487	0.7569687099
488	0.756765493
489	0.756485664
490	0.7564335254
491	0.7562432118
492	0.7562027379
493	0.7560423264
494	0.7553123734
495	0.7551890269
496	0.7545117605
497	0.7544694278
498	0.754386435
499	0.7543485458
